SRR18715196
SRR18715198
SRR18715199
SRR18715200
SRR18715201
SRR18715202
SRR18715203
SRR18715204
SRR18715205
SRR18715206
SRR18715207
SRR18715208
SRR18715209
SRR18715210
SRR18715211
SRR18715212
SRR18715213
SRR18715214
SRR18715215
SRR18715216
SRR18715218
SRR18715219
SRR18715220
SRR18715221
SRR18715222
SRR18715223
SRR18715224
SRR18715225
SRR18715226
SRR18715227
SRR18715228
SRR18715229
SRR18715230
SRR18715231
SRR18715232
SRR18715233
SRR18715234
SRR18715236
SRR18715237
SRR18715238
SRR18715239
SRR18715240
SRR18715241
SRR18715242
SRR18715243
SRR18715244
SRR18715245
SRR18715246
